City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
277,Sibut,CF,5.72,19.07,71.69,94,76,1.01,light rain
278,Juazeiro,BR,-9.41,-40.5,82.4,65,75,4.7,broken clouds
279,Lorengau,PG,-2.02,147.27,81.61,72,100,2.48,overcast clouds
280,Surt,LY,31.21,16.59,73.65,68,79,14.63,broken clouds
281,Hohhot,CN,40.81,111.65,24.8,58,0,4.47,clear sky
282,Port Hardy,CA,50.7,-127.42,48.2,93,90,8.05,light rain
283,Arbazh,RU,57.68,48.31,31.46,94,84,9.19,broken clouds
284,Poum,NC,-20.23,164.02,76.46,75,91,12.57,overcast clouds
285,La Rochelle,FR,46.17,-1.15,59.0,87,75,11.41,broken clouds
286,Isangel,VU,-19.55,169.27,77.76,73,5,17.13,clear sky
287,Trofors,NO,65.53,13.41,28.4,100,0,3.67,clear sky
288,Samarai,PG,-10.62,150.67,81.52,83,34,7.87,light rain
289,Narsaq,GL,60.92,-46.05,32.0,97,100,1.12,overcast clouds
290,Mandali,IQ,33.75,45.55,67.93,22,0,5.73,clear sky
291,Dongsheng,CN,39.82,109.98,35.08,62,100,4.23,overcast clouds
292,Torbay,CA,47.67,-52.73,41.0,100,90,12.75,light rain
293,Hasaki,JP,35.73,140.83,51.8,93,20,4.7,few clouds
294,Kirkwall,GB,58.98,-2.96,50.0,81,100,13.87,light rain
295,Qasigiannguit,GL,68.82,-51.19,17.6,72,69,5.82,broken clouds
296,Uttiramerur,IN,12.6,79.77,78.8,94,40,4.7,mist
297,Mitzic,GA,0.78,11.55,69.6,98,91,3.89,light rain
298,Aksu,CN,41.12,80.26,43.38,54,0,3.8,clear sky
299,Upernavik,GL,72.79,-56.15,17.37,82,0,5.57,clear sky
300,Prince Rupert,CA,54.32,-130.32,50.0,87,90,2.24,overcast clouds
301,Moose Factory,CA,51.26,-80.61,35.6,59,90,14.99,overcast clouds
302,Guerrero Negro,MX,27.98,-114.06,75.13,20,0,21.23,clear sky
303,Wenling,CN,28.37,121.36,66.0,87,0,7.14,clear sky
304,Pangody,RU,65.85,74.49,-0.51,90,0,8.41,clear sky
305,Wanaka,NZ,-44.7,169.15,49.64,65,99,1.83,overcast clouds
306,Goderich,CA,43.75,-81.72,44.01,80,100,9.6,light rain
307,Vangaindrano,MG,-23.35,47.6,71.49,89,32,2.33,light rain
308,Khartoum,SD,15.55,32.53,93.0,19,0,8.05,clear sky
309,Mandalgovi,MN,45.76,106.27,30.34,65,0,6.4,clear sky
310,Show Low,US,34.25,-110.03,28.4,86,90,11.41,overcast clouds
311,Kenai,US,60.55,-151.26,39.0,74,1,3.36,clear sky
312,Hinton,CA,53.4,-117.59,41.02,76,100,7.76,overcast clouds
313,Dunedin,NZ,-45.87,170.5,52.0,70,0,14.0,clear sky
314,Oriximina,BR,-1.77,-55.87,87.53,59,100,1.72,light rain
315,Zeya,RU,53.75,127.27,34.21,94,100,3.85,overcast clouds
316,Bairiki,KI,1.33,172.98,80.6,78,40,2.24,scattered clouds
317,Acapulco,MX,16.86,-99.89,86.0,79,90,6.93,overcast clouds
318,Bengkulu,ID,-3.8,102.27,75.72,83,98,4.43,overcast clouds
319,Esperance,AU,-33.87,121.9,53.6,100,100,6.93,overcast clouds
320,Dikson,RU,73.51,80.55,10.71,96,100,16.64,overcast clouds
321,Parabel,RU,58.7,81.48,31.35,99,100,7.4,light rain
322,Matane,CA,48.83,-67.52,32.0,58,90,13.82,overcast clouds
323,Warwick,US,41.7,-71.42,57.2,58,40,8.05,scattered clouds
324,Itaituba,BR,-4.28,-55.98,80.6,83,40,0.54,scattered clouds
325,Iranshahr,IR,27.2,60.68,64.4,12,0,9.17,clear sky
326,Airai,TL,-8.93,125.41,60.6,100,11,0.98,few clouds
327,Jian,CN,27.12,114.98,62.46,81,0,6.4,light rain
328,Clyde River,CA,70.47,-68.59,10.4,72,20,9.17,few clouds
329,Bardiyah,LY,31.76,25.09,71.65,69,31,11.9,scattered clouds
330,Bilma,NE,18.69,12.92,71.89,22,0,3.2,clear sky
331,Tambovka,RU,50.1,128.05,35.6,69,40,6.71,scattered clouds
332,Blagoyevo,RU,63.37,47.92,37.83,96,100,8.79,light rain
333,Kongolo,CD,-5.38,27.0,71.26,92,97,2.3,overcast clouds
334,Mimongo,GA,-1.62,11.61,71.13,95,100,4.27,moderate rain
335,Fort Myers Beach,US,26.45,-81.95,89.01,66,1,12.75,clear sky
336,Chuy,UY,-33.7,-53.46,61.79,94,100,14.25,moderate rain
337,Peravurani,IN,10.3,79.18,77.95,79,0,3.6,clear sky
338,Nome,US,64.5,-165.41,32.0,94,90,3.06,overcast clouds
339,Sorong,ID,-0.88,131.25,79.45,82,100,6.08,moderate rain
340,Chato,TZ,-2.64,31.77,71.73,68,94,3.24,overcast clouds
341,Mareeba,AU,-17.0,145.43,75.99,88,100,1.99,overcast clouds
342,Alta Floresta,BR,-9.88,-56.09,80.6,83,40,12.75,shower rain
